Token	ObservationDate	HoldValue	TradeValue	ASXCode	AvgHoldValue	MAAvgHoldKey	MAAvgHoldValue
VANADIUM	18/04/2016	95020.134	186169.8	3	31673.378	SM0	95020.134
ZINC	18/04/2016	98627.6604	742761.1	17	5801.627082	SM0	98627.6604
BAUXITE	19/04/2016	124555.87	132339	4	31138.9675	SM0	124555.87
BIO TECHNOLOGY	19/04/2016	103637.6834	639215.84	24	4318.236808	SM0	103637.6834
BIOTECH	19/04/2016	85000	94732.5	1	85000	SM0	85000
COBALT	19/04/2016	118237.829	941471.7	12	9853.152416	SM0	118237.829
COKING COAL	19/04/2016	106934.575	52866.2	5	21386.915	SM0	106934.575
COPPER	19/04/2016	105430.622	688376.6	23	4583.940086	SM0	105430.622
DIGITAL HEALTHCARE	19/04/2016	94545.402	770753	2	47272.701	SM0	94545.402
FINANCIAL TECHNOLOGY	19/04/2016	100068.783	940693.9	12	8339.06525	SM0	100068.783
GOLD	19/04/2016	116985.5813	1031816.19	24	4874.39922	SM0	116985.5813
GRAPHENE	19/04/2016	99999.753	46571.7	2	49999.8765	SM0	99999.753
GRAPHITE	19/04/2016	122206.6562	6936882.91	23	5313.332878	SM0	122206.6562
JUNIOR GOLD	19/04/2016	112570.2092	2980531.74	24	4690.425383	SM0	112570.2092
LARGE GOLD	19/04/2016	116473.3491	85373793.38	14	8319.524935	SM0	116473.3491
LITHIUM	19/04/2016	140996.4416	9509707.86	23	6130.280069	SM0	140996.4416
MEDICAL CANNABIS	19/04/2016	113323.438	6256109.004	6	18887.23967	SM0	113323.438
MEMORY TECHNOLOGY	19/04/2016	145000	26317.5	1	145000	SM0	145000
MINING SERVICES	19/04/2016	85262.3702	11077.24	1	85262.3702	SM0	85262.3702
NICKEL	19/04/2016	114943.202	773712.4	12	9578.600166	SM0	114943.202
OIL & GAS	19/04/2016	96312.421	45921213	12	8026.035083	SM0	96312.421
POTASH PHOSPHATE	19/04/2016	105195.428	26982586.7	7	15027.91829	SM0	105195.428
RENEWABLE ENERGY	19/04/2016	117093.9	1398838.5	1	117093.9	SM0	117093.9
SILVER	19/04/2016	122986.425	1037080	8	15373.30313	SM0	122986.425
STEM CELLS THERAPEUTICS	19/04/2016	102880	1755750	1	102880	SM0	102880
TIN	19/04/2016	118129.167	1004225.6	7	16875.59529	SM0	118129.167
URANIUM	19/04/2016	105358.9978	2484383.02	19	5545.21041	SM0	105358.9978
VANADIUM	19/04/2016	91606.912	389105.6	3	30535.63733	SM0	91606.912
ZINC	19/04/2016	100149.2134	666511.88	17	5891.1302	SM0	100149.2134
BAUXITE	20/04/2016	129682.127	180628.4	4	32420.53175	SM0	129682.127
BIO TECHNOLOGY	20/04/2016	102632.0764	523475.48	24	4276.336516	SM0	102632.0764
BIOTECH	20/04/2016	86000	142631	1	86000	SM0	86000
COBALT	20/04/2016	118594.245	258858.1	12	9882.85375	SM0	118594.245
COKING COAL	20/04/2016	106934.575	20660.5	5	21386.915	SM0	106934.575
COPPER	20/04/2016	107136.751	4573691.4	23	4658.119608	SM0	107136.751
DIGITAL HEALTHCARE	20/04/2016	90766.438	2788020.7	2	45383.219	SM0	90766.438
FINANCIAL TECHNOLOGY	20/04/2016	98810.785	1447916.9	12	8234.232083	SM0	98810.785
GOLD	20/04/2016	117845.2904	4080492.5	24	4910.220433	SM0	117845.2904
GRAPHENE	20/04/2016	99999.753	79569	2	49999.8765	SM0	99999.753
GRAPHITE	20/04/2016	120142.4427	18301350.56	23	5223.584465	SM0	120142.4427
