ASXCode	TimeFrame	TimeIntervalStart	Open	High	Low	Close	Volume	FirstSale	LastSale	SaleValue	NumOfSale	AverageValuePerTransaction	VWAP	ObservationDate
NQMAIN.US	30M	2024-07-07 21:00:00	20587.7500	20597.7500	20579.2500	20596.2500	1849	NULL	NULL	NULL	1299	NULL	20588.300000	2024-07-07
NQMAIN.US	30M	2024-07-07 21:30:00	20596.0000	20601.2500	20592.5000	20594.2500	1375	NULL	NULL	NULL	1078	NULL	20596.600000	2024-07-07
NQMAIN.US	30M	2024-07-07 22:00:00	20594.0000	20602.7500	20590.7500	20600.2500	1201	NULL	NULL	NULL	886	NULL	20596.950000	2024-07-07
NQMAIN.US	30M	2024-07-07 22:30:00	20600.0000	20602.0000	20595.5000	20598.5000	760	NULL	NULL	NULL	581	NULL	20598.700000	2024-07-07
NQMAIN.US	30M	2024-07-07 23:00:00	20598.0000	20600.7500	20592.2500	20595.5000	1103	NULL	NULL	NULL	809	NULL	20597.325000	2024-07-07
NQMAIN.US	30M	2024-07-07 23:30:00	20596.0000	20600.5000	20594.5000	20598.0000	732	NULL	NULL	NULL	548	NULL	20597.925000	2024-07-07
NQMAIN.US	30M	2024-07-05 00:00:00	20414.0000	20422.0000	20412.2500	20419.5000	978	NULL	NULL	NULL	670	NULL	20417.150000	2024-07-05
NQMAIN.US	30M	2024-07-05 00:30:00	20419.2500	20427.0000	20415.2500	20422.7500	1109	NULL	NULL	NULL	725	NULL	20421.600000	2024-07-05
NQMAIN.US	30M	2024-07-05 01:00:00	20422.7500	20426.5000	20417.5000	20424.7500	1114	NULL	NULL	NULL	750	NULL	20421.600000	2024-07-05
NQMAIN.US	30M	2024-07-05 01:30:00	20424.7500	20432.0000	20420.7500	20429.2500	1388	NULL	NULL	NULL	888	NULL	20427.075000	2024-07-05
NQMAIN.US	30M	2024-07-05 02:00:00	20429.0000	20452.0000	20426.5000	20445.5000	3564	NULL	NULL	NULL	2164	NULL	20439.425000	2024-07-05
NQMAIN.US	30M	2024-07-05 02:30:00	20446.0000	20460.2500	20441.5000	20444.2500	2703	NULL	NULL	NULL	1798	NULL	20450.650000	2024-07-05
NQMAIN.US	30M	2024-07-05 03:00:00	20445.0000	20455.0000	20433.7500	20437.2500	3276	NULL	NULL	NULL	2358	NULL	20445.550000	2024-07-05
NQMAIN.US	30M	2024-07-05 03:30:00	20438.0000	20443.0000	20426.0000	20441.7500	3543	NULL	NULL	NULL	2376	NULL	20433.900000	2024-07-05
NQMAIN.US	30M	2024-07-05 04:00:00	20441.5000	20458.0000	20431.0000	20443.5000	3987	NULL	NULL	NULL	2802	NULL	20446.725000	2024-07-05
NQMAIN.US	30M	2024-07-05 04:30:00	20444.0000	20449.5000	20425.5000	20429.0000	2671	NULL	NULL	NULL	1869	NULL	20436.250000	2024-07-05
NQMAIN.US	30M	2024-07-05 05:00:00	20429.2500	20437.7500	20426.2500	20435.2500	1628	NULL	NULL	NULL	1219	NULL	20432.875000	2024-07-05
NQMAIN.US	30M	2024-07-05 05:30:00	20434.5000	20445.7500	20430.5000	20432.2500	2197	NULL	NULL	NULL	1462	NULL	20437.850000	2024-07-05
NQMAIN.US	30M	2024-07-05 06:00:00	20432.0000	20439.2500	20427.5000	20437.0000	1714	NULL	NULL	NULL	1196	NULL	20433.875000	2024-07-05
NQMAIN.US	30M	2024-07-05 06:30:00	20437.0000	20449.5000	20436.0000	20440.7500	1938	NULL	NULL	NULL	1423	NULL	20441.800000	2024-07-05
NQMAIN.US	30M	2024-07-05 07:00:00	20441.5000	20448.0000	20438.0000	20443.0000	2594	NULL	NULL	NULL	1836	NULL	20442.275000	2024-07-05
NQMAIN.US	30M	2024-07-05 07:30:00	20443.0000	20445.5000	20427.0000	20433.2500	2773	NULL	NULL	NULL	1864	NULL	20434.900000	2024-07-05
NQMAIN.US	30M	2024-07-05 08:00:00	20433.2500	20456.0000	20423.2500	20447.5000	4727	NULL	NULL	NULL	3304	NULL	20436.350000	2024-07-05
NQMAIN.US	30M	2024-07-05 08:30:00	20453.0000	20496.0000	20373.0000	20425.7500	21074	NULL	NULL	NULL	14813	NULL	20446.375000	2024-07-05
NQMAIN.US	30M	2024-07-05 09:00:00	20425.5000	20445.0000	20411.2500	20441.5000	13264	NULL	NULL	NULL	9012	NULL	20427.125000	2024-07-05
NQMAIN.US	30M	2024-07-05 09:30:00	20441.5000	20517.0000	20428.2500	20513.7500	86637	NULL	NULL	NULL	59111	NULL	20471.025000	2024-07-05
NQMAIN.US	30M	2024-07-05 10:00:00	20514.5000	20544.2500	20462.2500	20517.5000	61259	NULL	NULL	NULL	41144	NULL	20505.175000	2024-07-05
NQMAIN.US	30M	2024-07-05 10:30:00	20517.2500	20552.0000	20490.5000	20524.0000	40580	NULL	NULL	NULL	26884	NULL	20525.850000	2024-07-05
